Name,Tags,notes,Date,Created by,Réseau
A salaam alaikum brother,wilayahks,,"July 26, 2015 6:57 AM",Quentin Sombsthay,Surespot
"Salaam, brother. What's up?",AusWitness,,"July 26, 2015 10:04 PM",Quentin Sombsthay,Surespot
"Nothing much ahki. It's nice to talk with
you. You've gotten kind of famous lately lol -*SMILE*",wilayahks,,"July 27, 2015 6:51 AM",Quentin Sombsthay,Surespot
Really? Where am l famous?,AusWitness,,"July 27, 2015 7:41 PM",Quentin Sombsthay,Surespot
I read a news article after garland and it had your name in it,wilayahks,,"July 28, 2015 3:07 PM",Quentin Sombsthay,Surespot
So I said Alhamdulillah maybe we can chat *smile*,wilayahks,,"July 28, 2015 3:08 PM",Quentin Sombsthay,Surespot
"Yes, the kuffer media did cover me after Garland",AusWitness,,"July 28, 2015 10:02 PM",Quentin Sombsthay,Surespot
"Right now, I'm trying to get a mujahid in Melbourne to carry out jihad, but he keeps delaying it. He has a gun already, but he insists on making a video message to the kuffar with a black shahada flag. He also insists on getting his friend to carry out jihad with him. I am afraid he'll get caught before he can do it.",AusWitness,,"July 28, 2015 10:04 PM",Quentin Sombsthay,Surespot
"Are you in Australia, brother?",AusWitness,,"July 30, 2015 9:54 PM",Quentin Sombsthay,Surespot
"No, l'm in the states ahki",wilayahks,,"July 31, 2015 5:29 AM",Quentin Sombsthay,Surespot
"Did we speak to each other on Twitter, brother?",AusWitness,,"July 31, 2015 10:17 PM",Quentin Sombsthay,Surespot
No what's your twitter?,wilayahks,,"August 1, 2015 5:32 AM",Quentin Sombsthay,Surespot
"Right now, it's @aussecret",AusWitness,,"August 1, 2015 10:27 PM",Quentin Sombsthay,Surespot
"Well bro he hasn 't gotten back to
me ...",wilayahks,,"August 5, 2015 8:38 AM",Quentin Sombsthay,Surespot
"If he was captured, it would be
my fault. I mentioned him in a
post on a discussion board for
mujahideen. I feel so guilty
about this. I am so worried
about him.",AusWitness,,"August 5, 2015 1:10 PM",Quentin Sombsthay,Surespot
"If the kuffar captured him with
his gun, it would be on the
news, right?",AusWitness,,"August 5, 2015 1:11 PM",Quentin Sombsthay,Surespot
I would assume?,wilayahks,,"August 6, 2015 7:40 AM",Quentin Sombsthay,Surespot
"I don't know what to tell you bro ",wilayahks,,"August 6, 2015 7:42 AM",Quentin Sombsthay,Surespot
"The thread I posted about him was on http://8ch.net/islamicstate.
Do you think the kuffar could capture him just from that thread?",AusWitness,,"August 6, 2015 11:08 AM",Quentin Sombsthay,Surespot
No I mean it's an onion site,wilayahks,,"August 7, 2015 8:12 AM",Quentin Sombsthay,Surespot
And surespot isn't traceable,wilayahks,,"August 7, 2015 8:12 AM",Quentin Sombsthay,Surespot
Sounds like he got cold feet to be honest,wilayahks,,"August 7, 2015 8:12 AM",Quentin Sombsthay,Surespot
"Well, I posted a link to a video he posted. Couldn't the kuffar trace his I P from that? Or from
his Twitter, which has the same username?",AusWitness,,"August 7, 2015 10:38 AM",Quentin Sombsthay,Surespot
"He often takes a long time to respond to me, but it's never taken THIS long. The last thing
he sent me was a promise that he would send me updates more often.",AusWitness,,"August 7, 2015 10:39 AM",Quentin Sombsthay,Surespot
These are the last messages he sent me.,AusWitness,,"August 8, 2015 10:31 PM",Quentin Sombsthay,Surespot
Yeah ahki I dunno there's not much you can do at this point,wilayahks,,"August 9, 2015 12:23 PM",Quentin Sombsthay,Surespot
The bottom line is if you feel safe being caught shouldn 't be an issue,wilayahks,,"August 9, 2015 12:23 PM",Quentin Sombsthay,Surespot
You can always plan something else,wilayahks,,"August 9, 2015 12:23 PM",Quentin Sombsthay,Surespot
"What makes it worse is that he hasn't responded to my emails or my messages on Twitter either. But, if the kuffar had
captured him, then surely it would be on the news? I just don't understand.",AusWitness,,"August 10, 2015 1:16 AM",Quentin Sombsthay,Surespot
Yes it would have been on the news they love showing that kind of news,wilayahks,,"August 10, 2015 8:17 AM",Quentin Sombsthay,Surespot
If they got him they'd have gotten you right?,wilayahks,,"August 10, 2015 8:23 AM",Quentin Sombsthay,Surespot
"Well, l 'm not sure. I mean, I used proxies to post. I don't
think he used a proxy to upload that video clip that I posted.",AusWitness,,"August 10, 2015 9:51 PM",Quentin Sombsthay,Surespot
"l've tried messaging him on Twitter and emailing him, but I get nothing.",AusWitness,,"August 10, 2015 9:51 PM",Quentin Sombsthay,Surespot
Cold feet bro,wilayahks,,"August 10, 2015 10:21 PM",Quentin Sombsthay,Surespot
"But his last messages showed no sign of cold feet, brother. I just wish I hadn 't made that
stupid thread on Behan. What was I thinking?",AusWitness,,"August 13, 2015 2:22 AM",Quentin Sombsthay,Surespot
Don't beat yourself up ahki.,wilayahks,,"August 13, 2015 7:24 AM",Quentin Sombsthay,Surespot
If he were arrested it would be in the news,wilayahks,,"August 13, 2015 7:25 AM",Quentin Sombsthay,Surespot
If you're serious its time to focus on other things. Don't get tied down by it.,wilayahks,,"August 13, 2015 7:25 AM",Quentin Sombsthay,Surespot
Maybe he went here ahki ^^’,wilayahks,,"August 13, 2015 4:41 PM",Quentin Sombsthay,Surespot
Jokes aside may Allah swt bless them all,wilayahks,,"August 13, 2015 4:42 PM",Quentin Sombsthay,Surespot
"I just can't get over this, akhi.
The kuffar government could be torturing him for info right now, and ail because I made
the stupid mistake of talking about our plans on Behan. If I find out he got caught because
of me, I just don't know what I’ll do. I feel like I have failed as a Muslim.",AusWitness,,"August 14, 2015 7:07 AM",Quentin Sombsthay,Surespot
